,company,location,main_sector,subsector,primary,description
804,Laboratorios Rubió,"CASTELLBISBAL, Barcelona",Pharma,Other; Molecular diagnostics,"Cardiovascular; Diseases of the blood, immune disorders; Diseases of the nervous system; Endocrine,nutritional,metabolic diseases; Genitourinary system; Musculoskeletal system,connective tissue; Neoplasms / cancer / oncology","Laboratorios Rubió, S.A. engages in the production and distribution of pharmaceutical specialties and products for patients suffering from low prevalence diseases, including central nervous system, rheumatology, nephrology, urology, gynecology, and oncology-radiation therapy in Spain and internationally. The company provide medical devices, prescription and OTC drugs, diagnostic tests, genetic analysis, and supplements food."
805,"Laboratorios SALVAT (HQ, Esplugues del llobregat)","ESPLUGUES DE LLOBREGAT, Barcelona",Pharma,Anti-infectives; Other,"Cardiovascular; Digestive system; Diseases of the ear; Diseases of the eye; Genitourinary system; Infectious and parasitic diseases; Musculoskeletal system,connective tissue; Skin and subcutaneous tissue","Laboratorios SALVAT, S.A. manufactures pharmaceutical products for personal healthcare, digestive/metabolism, urology, ENT/ophthalmology, dermatology, and malaria. The company also engages in research projects in molecular diagnosis, regenerative medicine, and new forms of drug delivery. The range of different products developed by the company includes new medicinal products, medical devices, antiseptics, nutraceuticals and probiotics."
806,Laboratorios Seid,"LLIÇA DE VALL, Barcelona",Pharma,Other,"Digestive system; Genitourinary system; Injury, poisoning, other external causes; Musculoskeletal system,connective tissue","Laboratorios Seid manufactures products especially in the field of gynecology and women’s care. Seid’s mission is working to improve people’s health, committing its efforts to manufacturing and marketing products that focus on and satisfy the needs of doctors and patients, especially in the field of gynecology and women’s care."
807,"Laboratorios Serra Pamies (HQ, Tarragona)","Reus, Tarragona",Pharma,Generics; Other,"Digestive system; Diseases of the nervous system; Infectious and parasitic diseases; Other symptoms,deviant clinical findings","Laboratorios Serra Pamies researches, develops, manufactures and distributes products to improve the welfare of the people. The company offers products for dermatology, orthopaedics, women's health, nutrition, oral care, OTC medicines and food supplements."
808,Laboratorios Vilardell,"SANT FELIU DE LLOBREGAT, Barcelona",Pharma,Other,Digestive system,"Laboratorios Vilardell is a pharmaceutical laboratory which manufactures glicerin suppositories. Glicerina Vilardell Suppositories are a product of choice in the treatment of occasional constipation, which makes them advisable for use by all types of people including pregnant women and infants."
809,Laboratorios Viñas,"Barcelona, Barcelona",Pharma,Anti-infectives; Other,"Diseases of the eye; Infectious and parasitic diseases; Injury, poisoning, other external causes; Musculoskeletal system,connective tissue; Pregnancy, childbirth and the puerperium; Skin and subcutaneous tissue","Laboratorios Viñas, S.A. is a research-oriented pharmaceutical company, that has a special focus in dermopharmacy. The products includes Aftex, Minoxidil, Acnemin, Vigorcap, Radio Salil, Dentiblanc, Emolienta, Molusk, Keratix, Tanit, Ferrosol, etc."
810,Laboratoris Lamons,"Lleida, Lleida",Biotechnology - other,Veterinary,,"Laboratorios Lamons SA is a Spanish veterinary pharmaceutical company. The company focuses activity on the development, manufacture, and commercialization of veterinary and nutritional pharmaceutical products for animal use with high added value."
811,"Lacer (HQ, Barcelona)","Barcelona, Barcelona",Pharma,Small molecules; Other,"Cardiovascular; Digestive system; Diseases of the nervous system; Endocrine,nutritional,metabolic diseases; Musculoskeletal system,connective tissue; Neoplasms / cancer / oncology; Other symptoms,deviant clinical findings","Lacer, S.A. engages in the research, development, production, sales, and marketing of health care &amp; pharmaceutical products. The company mainly offers cardiovascular products for hypertension, Ischemic heart disease, lipid metabolism disorders, and diabetes. In addition, the company offers pharmaceutical licensing services; and development/industrialization, validations, registration, process engineering, logistics, and healthcare authorities administrative support services."
812,Lacocomedic,"Barcelona, Barcelona",Professional Services and Consulting,Sales &amp; Marketing,,"Lacocomedic is an executive strategic consulting specialized in the implementation of programs of patient experience, medical marketing, health communication and branding."
813,LactApp,"Barcelona, Barcelona",Digital Health,Mobile Fitness / Health Apps; Telehealth,"Conditions related to perinatal period; Pregnancy, childbirth and the puerperium","LactApp is a Barcelona based StartUp that provides Artificial Intelligence in novel use cases: Breastfeeding and Maternity. LactApp Women’s Health builds its innovative solution on the firm belief that while breastfeeding can be hard, women should get all the available information, professional care, and supporting network."
814,Lainco,"RUBI, Barcelona",Pharma,Generics; Other,,"LAINCO, SA is an independent Spanish company. The company dedicated to the investigation, development, manufacture, packaging and marketing of agrochemical and pharmaceutical products."
815,Lamirsa Group,"Terrassa, Barcelona",Biotechnology - other,Cosmetics; Food,,"HIPRA is an European multinational pharmaceutical company focused on prevention and diagnosis for animal and human health, with a broad range of highly innovative vaccines and an advanced diagnostic service."
816,Larvamed,"Badalona, Barcelona",Biotechnology / R&amp;D Services,Other,,"LarvaMed is a startup developing sanitary bandages from Lucilia sericata larvae, which are an effective, natural treatment, less painful and sustainable for pressure ulcers chronic type and hard-to-heal wounds."
817,Latac,"Terrassa, Barcelona",Biotechnology - other,Veterinary,,"Latac is a developer and producer of pet-bird care products. The company offers antibiotics, vitamins, insecticides, insect and parasite repellents, bacteriocide for cage disinfection and a singing enhancing drops."
818,LC Implants,"MONTCADA I REIXAC, Barcelona",Supplier &amp; Engineering,Medical devices,,"LC Implants designs, manufactures and distributes dental tools for implants."
819,Lebsa,"CORNELLA DE LLOBREGAT, Barcelona",Biotechnology / R&amp;D Services,CMO (Contract Manufacturing Organization); Synthesis services,,"Lebsa is a family run business dedicated to research, development and synthesis of organic chemical products for the international pharmaceutical industry. The aim of the company is the GMP production and marketing of molecules with therapeutic applications and the study of new processes to synthesize molecules already on the market. The company also offers custom synthesis of impurities and chemical standards."
